Year,Sex,Facultad,Nivel,Total
2006-2007,F,Humanidades,Cert. Post-Bach,0
2007-2008,F,Humanidades,Cert. Post-Bach,0
2008-2009,F,Humanidades,Cert. Post-Bach,0
2009-2010,F,Humanidades,Cert. Post-Bach,32
2010-2011,F,Humanidades,Cert. Post-Bach,50
2011-2012,F,Humanidades,Cert. Post-Bach,0
2012-2013,F,Humanidades,Cert. Post-Bach,0
2013-2014,F,Humanidades,Cert. Post-Bach,0
2014-2015,F,Humanidades,Cert. Post-Bach,2
2015-2016,F,Humanidades,Cert. Post-Bach,0
2005-2006,F,Humanidades,Maestria,22
2006-2007,F,Humanidades,Maestria,22
2007-2008,F,Humanidades,Maestria,26
2008-2009,F,Humanidades,Maestria,38
2009-2010,F,Humanidades,Maestria,23
2010-2011,F,Humanidades,Maestria,23
2011-2012,F,Humanidades,Maestria,40
2012-2013,F,Humanidades,Maestria,21
2013-2014,F,Humanidades,Maestria,42
2014-2015,F,Humanidades,Maestria,20
2015-2016,F,Humanidades,Maestria,17
2005-2006,F,Humanidades,Cert. Post-Maestría,0
2006-2007,F,Humanidades,Cert. Post-Maestría,0
2007-2008,F,Humanidades,Cert. Post-Maestría,0
2008-2009,F,Humanidades,Cert. Post-Maestría,0
2009-2010,F,Humanidades,Cert. Post-Maestría,0
2010-2011,F,Humanidades,Cert. Post-Maestría,0
2011-2012,F,Humanidades,Cert. Post-Maestría,0
2012-2013,F,Humanidades,Cert. Post-Maestría,0
2013-2014,F,Humanidades,Cert. Post-Maestría,0
2014-2015,F,Humanidades,Cert. Post-Maestría,1
2015-2016,F,Humanidades,Cert. Post-Maestría,2
2005-2006,F,Humanidades,Doctorado,10
2006-2007,F,Humanidades,Doctorado,7
2007-2008,F,Humanidades,Doctorado,11
2008-2009,F,Humanidades,Doctorado,10
2009-2010,F,Humanidades,Doctorado,11
2010-2011,F,Humanidades,Doctorado,10
2011-2012,F,Humanidades,Doctorado,13
2012-2013,F,Humanidades,Doctorado,6
2013-2014,F,Humanidades,Doctorado,5
2014-2015,F,Humanidades,Doctorado,10
2015-2016,F,Humanidades,Doctorado,11
2005-2006,M,Planificación,Maestria,8
2006-2007,M,Planificación,Maestria,13
2007-2008,M,Planificación,Maestria,11
2008-2009,M,Planificación,Maestria,10
2009-2010,M,Planificación,Maestria,9
2010-2011,M,Planificación,Maestria,6
2011-2012,M,Planificación,Maestria,11
2012-2013,M,Planificación,Maestria,7
2013-2014,M,Planificación,Maestria,6
2014-2015,M,Planificación,Maestria,6
2015-2016,M,Planificación,Maestria,4
2005-2006,F,Planificación,Maestria,9
2006-2007,F,Planificación,Maestria,13
2007-2008,F,Planificación,Maestria,15
2008-2009,F,Planificación,Maestria,8
2009-2010,F,Planificación,Maestria,6
2010-2011,F,Planificación,Maestria,6
2011-2012,F,Planificación,Maestria,15
2012-2013,F,Planificación,Maestria,6
2013-2014,F,Planificación,Maestria,6
2014-2015,F,Planificación,Maestria,5
2015-2016,F,Planificación,Maestria,8
